INFO 2023-04-25 12:08:50,589 Watching for file changes with StatReloader
INFO 2023-04-25 12:08:54,555 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:08:54,571 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:08:54,656 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 200 6454
INFO 2023-04-25 12:08:54,659 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 200 58582
INFO 2023-04-25 12:08:54,661 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 200 80704
INFO 2023-04-25 12:08:54,664 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 200 88147
INFO 2023-04-25 12:08:54,664 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 19736
INFO 2023-04-25 12:08:54,667 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 200 5253
INFO 2023-04-25 12:08:54,667 "GET /static/dist/css/login-page.css HTTP/1.1" 200 9064
INFO 2023-04-25 12:08:54,669 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 200 686718
INFO 2023-04-25 12:08:54,670 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 200 13881
INFO 2023-04-25 12:08:54,671 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 200 42395
INFO 2023-04-25 12:08:54,673 "GET /static/dist/js/adminlte.js HTTP/1.1" 200 59416
INFO 2023-04-25 12:08:54,674 "GET /static/dist/js/demo.js HTTP/1.1" 200 13042
INFO 2023-04-25 12:08:55,016 "GET /static/dist/img/login.png HTTP/1.1" 200 445475
INFO 2023-04-25 12:08:55,248 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 79444
WARNING 2023-04-25 12:08:55,287 Not Found: /favicon.ico
INFO 2023-04-25 12:11:07,894 Watching for file changes with StatReloader
INFO 2023-04-25 12:11:09,167 "GET / HTTP/1.1" 302 0
INFO 2023-04-25 12:11:09,196 "GET /accounts/login/?next=/ HTTP/1.1" 200 3989
INFO 2023-04-25 12:11:51,468 "POST /accounts/login/ HTTP/1.1" 200 4114
INFO 2023-04-25 12:12:03,117 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-25 12:12:03,135 "GET / HTTP/1.1" 200 9298
INFO 2023-04-25 12:12:03,214 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-25 12:12:03,220 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-25 12:12:03,284 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-25 12:12:14,063 "GET /student/list HTTP/1.1" 200 9954
INFO 2023-04-25 12:12:17,239 "GET /staff/list/ HTTP/1.1" 200 9695
INFO 2023-04-25 12:12:18,883 "GET /finance/list/ HTTP/1.1" 200 10355
INFO 2023-04-25 12:12:19,557 "GET /result/create/ HTTP/1.1" 200 10923
INFO 2023-04-25 12:12:46,892 "GET /student/list HTTP/1.1" 200 9954
